Hero,Win_rate,Rank
Orisa,50.63,Grandmaster
Moira,52.23,Grandmaster
Ashe,55.6,Grandmaster
Tracer,56.07,Grandmaster
Winston,53.08,Grandmaster
Widowmaker,53.33,Grandmaster
D.Va,52.97,Grandmaster
Zenyatta,51.38,Grandmaster
Roadhog,51.62,Grandmaster
Baptiste,52.23,Grandmaster
Hanzo,52.23,Grandmaster
Torbjörn,52.97,Grandmaster
Echo,53.17,Grandmaster
Genji,57.2,Grandmaster
Doomfist,55.28,Grandmaster
Soldier: 76,55.56,Grandmaster
Mei,50.69,Grandmaster
Pharah,62.14,Grandmaster
Junkrat,57.72,Grandmaster
Symmetra,50.53,Grandmaster
Sombra,62.05,Grandmaster
Bastion,49.41,Grandmaster
Reaper,53.75,Grandmaster
Reinhardt,51.65,All
Moira,50.17,All
Mercy,50.93,All
Ana,48.05,All
Lúcio,53.1,All
Zarya,51.92,All
Ashe,52.5,All
Roadhog,49.68,All
McCree,48.38,All
D.Va,49.97,All
Sigma,51.2,All
Soldier: 76,49.42,All
Junkrat,51.89,All
Wrecking Ball,50.16,All
Orisa,51.02,All
Reaper,50.25,All
Echo,48.91,All
Pharah,52.24,All
Genji,48.38,All
Brigitte,56.47,All
Baptiste,45.91,All
Tracer,48.94,All
Zenyatta,51.81,All
Winston,47.7,All
Torbjörn,56.63,All
Doomfist,51.64,All
Hanzo,46.65,All
Widowmaker,48.87,All
Sombra,46.69,All
Symmetra,57.27,All
Mei,47.14,All
Bastion,53.99,All
Moira,47.87,Bronze
Mercy,45.4,Bronze
Lúcio,49.95,Bronze
D.Va,47.54,Bronze
Reinhardt,46.87,Bronze
Ana,43.05,Bronze
Orisa,48.05,Bronze
Junkrat,46.58,Bronze
Soldier: 76,47.45,Bronze
Sigma,48.94,Bronze
Ashe,47.57,Bronze
Zarya,46.76,Bronze
Reaper,45.33,Bronze
Brigitte,51.04,Bronze
Echo,45.14,Bronze
Roadhog,40.24,Bronze
Pharah,46.21,Bronze
McCree,46.9,Bronze
Baptiste,41.51,Bronze
Mei,49.4,Bronze
Wrecking Ball,38.68,Bronze
Zenyatta,43.4,Bronze
Symmetra,59.21,Bronze
Sombra,40.58,Bronze
Tracer,40.29,Bronze
Genji,42.86,Bronze
Winston,41.67,Bronze
Bastion,53.99,Bronze
Torbjörn,49.7,Bronze
Hanzo,47.62,Bronze
Widowmaker,35.21,Bronze
Doomfist,43.36,Bronze
Moira,49.21,Silver
Reinhardt,50.06,Silver
Mercy,47.34,Silver
Lúcio,51.11,Silver
D.Va,46.31,Silver
Zarya,48.66,Silver
Ana,44.05,Silver
Junkrat,49.35,Silver
Orisa,47.52,Silver
Sigma,50.45,Silver
Ashe,47.89,Silver
Reaper,48.62,Silver
Soldier: 76,46.6,Silver
Roadhog,46.7,Silver
McCree,46.11,Silver
Echo,44.06,Silver
Wrecking Ball,44.94,Silver
Pharah,45.5,Silver
Brigitte,54.52,Silver
Genji,47.59,Silver
Zenyatta,49.15,Silver
Winston,47.66,Silver
Torbjörn,57.33,Silver
Baptiste,40.22,Silver
Tracer,46.19,Silver
Hanzo,45.75,Silver
Mei,46.43,Silver
Symmetra,60.05,Silver
Sombra,43.04,Silver
Doomfist,50.96,Silver
Bastion,52.52,Silver
Widowmaker,46.49,Silver
Reinhardt,50.23,Gold
Moira,49.06,Gold
Mercy,48.94,Gold
Ana,45.84,Gold
Lúcio,52.26,Gold
Zarya,49.56,Gold
D.Va,49.96,Gold
Ashe,50.94,Gold
Junkrat,49.52,Gold
Roadhog,46.07,Gold
Sigma,49.94,Gold
Soldier: 76,48.22,Gold
McCree,45.23,Gold
Orisa,49.5,Gold
Reaper,49.11,Gold
Wrecking Ball,48.74,Gold
Echo,47.33,Gold
Genji,47.35,Gold
Pharah,51.44,Gold
Zenyatta,51.08,Gold
Baptiste,44.33,Gold
Brigitte,55.45,Gold
Winston,47.59,Gold
Tracer,46.39,Gold
Torbjörn,55.96,Gold
Hanzo,44.52,Gold
Doomfist,49.16,Gold
Symmetra,55.63,Gold
Sombra,44.55,Gold
Mei,46.59,Gold
Widowmaker,48.44,Gold
Bastion,51.54,Gold
Reinhardt,51.48,Platinum
Moira,50.12,Platinum
Mercy,51.03,Platinum
Ana,48.38,Platinum
Lúcio,53.1,Platinum
Zarya,52.18,Platinum
Ashe,52.67,Platinum
Roadhog,49.49,Platinum
McCree,49.01,Platinum
Sigma,51.41,Platinum
D.Va,50.27,Platinum
Soldier: 76,48.82,Platinum
Junkrat,53.8,Platinum
Wrecking Ball,50.25,Platinum
Genji,49.05,Platinum
Reaper,50.84,Platinum
Echo,49.3,Platinum
Pharah,52.23,Platinum
Orisa,51.55,Platinum
Baptiste,46.16,Platinum
Brigitte,56.86,Platinum
Tracer,48.78,Platinum
Zenyatta,52.09,Platinum
Doomfist,52.36,Platinum
Winston,48.32,Platinum
Torbjörn,57.76,Platinum
Hanzo,47.74,Platinum
Widowmaker,48.38,Platinum
Sombra,46.33,Platinum
Mei,47.56,Platinum
Symmetra,58.36,Platinum
Bastion,55.76,Platinum
Reinhardt,53.37,Diamond
Mercy,53.63,Diamond
Moira,52.16,Diamond
Zarya,55.08,Diamond
Ana,51.32,Diamond
Ashe,54.54,Diamond
Lúcio,55.59,Diamond
Roadhog,53.11,Diamond
McCree,49.19,Diamond
Sigma,51.63,Diamond
Soldier: 76,53.27,Diamond
Wrecking Ball,52.67,Diamond
D.Va,53.2,Diamond
Pharah,55.35,Diamond
Orisa,53.91,Diamond
Echo,51.6,Diamond
Genji,48.77,Diamond
Brigitte,59.12,Diamond
Junkrat,56.6,Diamond
Tracer,52.58,Diamond
Reaper,53.3,Diamond
Baptiste,50.34,Diamond
Doomfist,53.28,Diamond
Widowmaker,49.75,Diamond
Winston,46.77,Diamond
Hanzo,47.51,Diamond
Torbjörn,56.21,Diamond
Zenyatta,56.59,Diamond
Sombra,50.57,Diamond
Symmetra,55.76,Diamond
Mei,47.29,Diamond
Bastion,62.26,Diamond
Mercy,52.47,Master
Reinhardt,54.91,Master
Moira,51.95,Master
Ashe,53.51,Master
Zarya,53.78,Master
Ana,50.53,Master
Roadhog,53.36,Master
Lúcio,53.1,Master
McCree,52.66,Master
Orisa,52.9,Master
Sigma,54.83,Master
Wrecking Ball,51.35,Master
Soldier: 76,52.24,Master
Pharah,54.83,Master
Brigitte,55.53,Master
D.Va,50.06,Master
Tracer,50.86,Master
Echo,51.74,Master
Widowmaker,49.93,Master
Sombra,51.88,Master
Genji,48.16,Master
Baptiste,49.46,Master
Junkrat,57.66,Master
Torbjörn,53.94,Master
Winston,48.7,Master
Hanzo,46.5,Master
Doomfist,51.42,Master
Reaper,54.09,Master
Zenyatta,53.39,Master
Mei,47.24,Master
Symmetra,58.63,Master
Bastion,52.22,Master
Mercy,55.6,Grandmaster
Reinhardt,55.61,Grandmaster
Moira,52.46,Grandmaster
Ashe,55.43,Grandmaster
Roadhog,53.19,Grandmaster
Lúcio,55.18,Grandmaster
Wrecking Ball,56.22,Grandmaster
McCree,52.8,Grandmaster
Brigitte,56.77,Grandmaster
Orisa,56.68,Grandmaster
Zarya,56.3,Grandmaster
Ana,53.21,Grandmaster
Sigma,53.51,Grandmaster
D.Va,54.98,Grandmaster
Tracer,55.69,Grandmaster
Pharah,52.74,Grandmaster
Widowmaker,56.28,Grandmaster
Soldier: 76,55.2,Grandmaster
Torbjörn,58.52,Grandmaster
Echo,57.6,Grandmaster
Hanzo,47.92,Grandmaster
Junkrat,56.98,Grandmaster
Doomfist,54.97,Grandmaster
Winston,48.72,Grandmaster
Baptiste,49.62,Grandmaster
Zenyatta,43.09,Grandmaster
Bastion,49.11,Grandmaster
Reaper,57.14,Grandmaster
Mei,46.84,Grandmaster
Sombra,41.77,Grandmaster
Genji,59.21,Grandmaster
Symmetra,48.33,Grandmaster
Reinhardt,51.61,All
Moira,50.02,All
Mercy,50.66,All
Lúcio,53.08,All
Ana,48.89,All
Zarya,52.15,All
Ashe,53.34,All
Roadhog,49.41,All
McCree,48.31,All
Sigma,51.18,All
Junkrat,53.05,All
D.Va,49.39,All
Soldier: 76,49.4,All
Wrecking Ball,50.34,All
Echo,49.27,All
Reaper,51.01,All
Orisa,51.08,All
Brigitte,56.07,All
Baptiste,47.4,All
Genji,48.11,All
Tracer,48.28,All
Torbjörn,57.9,All
Zenyatta,52.72,All
Winston,48.74,All
Doomfist,51.65,All
Pharah,52.18,All
Hanzo,46.93,All
Widowmaker,50.19,All
Mei,49.06,All
Symmetra,57.66,All
Sombra,46.7,All
Bastion,53.44,All
Moira,47.31,Bronze
Mercy,45.23,Bronze
Reinhardt,47.77,Bronze
Lúcio,50.38,Bronze
D.Va,42.99,Bronze
Orisa,47.26,Bronze
Soldier: 76,45.68,Bronze
Junkrat,44.63,Bronze
Ashe,47.69,Bronze
Zarya,42.76,Bronze
Sigma,46.59,Bronze
Ana,40.78,Bronze
Roadhog,45.49,Bronze
Brigitte,45.06,Bronze
Reaper,46.41,Bronze
Baptiste,44.0,Bronze
Torbjörn,55.9,Bronze
Echo,41.8,Bronze
Wrecking Ball,44.62,Bronze
Zenyatta,47.77,Bronze
Sombra,35.53,Bronze
Winston,43.97,Bronze
McCree,48.55,Bronze
Symmetra,54.68,Bronze
Tracer,42.5,Bronze
Genji,43.97,Bronze
Pharah,44.92,Bronze
Bastion,56.14,Bronze
Hanzo,45.45,Bronze
Mei,44.0,Bronze
Widowmaker,44.23,Bronze
Doomfist,36.11,Bronze
Moira,47.96,Silver
Reinhardt,49.67,Silver
Lúcio,51.02,Silver
Mercy,48.81,Silver
D.Va,46.69,Silver
Zarya,47.29,Silver
Junkrat,51.07,Silver
Ana,45.44,Silver
Orisa,51.48,Silver
Sigma,49.53,Silver
Soldier: 76,47.14,Silver
Roadhog,45.82,Silver
Ashe,50.4,Silver
Reaper,48.21,Silver
McCree,47.08,Silver
Echo,47.23,Silver
Wrecking Ball,45.38,Silver
Brigitte,55.31,Silver
Baptiste,48.32,Silver
Torbjörn,57.16,Silver
Zenyatta,51.52,Silver
Winston,49.25,Silver
Tracer,45.6,Silver
Pharah,50.55,Silver
Genji,47.17,Silver
Mei,49.81,Silver
Hanzo,49.0,Silver
Bastion,49.75,Silver
Symmetra,59.04,Silver
Doomfist,48.05,Silver
Widowmaker,46.67,Silver
Sombra,40.15,Silver
Reinhardt,50.65,Gold
Moira,48.68,Gold
Mercy,49.45,Gold
Lúcio,53.1,Gold
Zarya,51.08,Gold
Ana,46.18,Gold
D.Va,49.43,Gold
Junkrat,52.33,Gold
Ashe,50.72,Gold
Sigma,50.56,Gold
Roadhog,47.2,Gold
Orisa,50.89,Gold
McCree,47.1,Gold
Soldier: 76,48.23,Gold
Echo,48.01,Gold
Reaper,49.71,Gold
Wrecking Ball,49.22,Gold
Brigitte,55.07,Gold
Baptiste,45.83,Gold
Genji,47.57,Gold
Zenyatta,50.02,Gold
Winston,49.38,Gold
Torbjörn,56.98,Gold
Pharah,52.27,Gold
Tracer,47.0,Gold
Doomfist,49.29,Gold
Symmetra,57.31,Gold
Mei,48.13,Gold
Hanzo,45.88,Gold
Widowmaker,46.29,Gold
Bastion,53.72,Gold
Sombra,44.5,Gold
Reinhardt,51.34,Platinum
Moira,50.36,Platinum
Ana,48.66,Platinum
Mercy,50.46,Platinum
Lúcio,52.84,Platinum
Zarya,51.5,Platinum
Ashe,53.99,Platinum
Roadhog,49.1,Platinum
McCree,47.52,Platinum
Sigma,51.18,Platinum
Junkrat,53.42,Platinum
Soldier: 76,49.22,Platinum
D.Va,50.9,Platinum
Echo,49.5,Platinum
Wrecking Ball,49.26,Platinum
Reaper,50.64,Platinum
Baptiste,46.99,Platinum
Brigitte,55.47,Platinum
Genji,47.09,Platinum
Orisa,51.41,Platinum
Zenyatta,53.54,Platinum
Tracer,48.46,Platinum
Torbjörn,58.85,Platinum
Doomfist,52.32,Platinum
Pharah,51.09,Platinum
Winston,47.84,Platinum
Hanzo,46.2,Platinum
Widowmaker,49.95,Platinum
Symmetra,58.06,Platinum
Mei,49.04,Platinum
Sombra,48.87,Platinum
Bastion,54.63,Platinum
Reinhardt,52.76,Diamond
Moira,52.08,Diamond
Zarya,54.81,Diamond
Mercy,52.42,Diamond
Ana,51.45,Diamond
Lúcio,53.96,Diamond
Ashe,55.23,Diamond
Roadhog,51.91,Diamond
McCree,49.22,Diamond
Sigma,52.25,Diamond
Wrecking Ball,53.99,Diamond
Soldier: 76,51.66,Diamond
Echo,51.55,Diamond
Junkrat,56.33,Diamond
Brigitte,60.16,Diamond
Genji,50.54,Diamond
Reaper,54.97,Diamond
Baptiste,49.71,Diamond
D.Va,50.98,Diamond
Tracer,48.53,Diamond
Torbjörn,57.76,Diamond
Doomfist,52.87,Diamond
Orisa,51.23,Diamond
Widowmaker,54.01,Diamond
Hanzo,48.23,Diamond
Winston,49.19,Diamond
Zenyatta,56.72,Diamond
Pharah,55.39,Diamond
Mei,51.33,Diamond
Sombra,48.54,Diamond
Symmetra,58.46,Diamond
Bastion,54.0,Diamond
Reinhardt,53.65,Master
Mercy,53.68,Master
Moira,51.49,Master
Zarya,55.5,Master
Ana,53.73,Master
Lúcio,54.26,Master
Roadhog,52.17,Master
Ashe,55.29,Master
McCree,50.66,Master
Sigma,52.7,Master
Wrecking Ball,54.98,Master
Brigitte,56.64,Master
Soldier: 76,53.68,Master
Baptiste,48.58,Master
Widowmaker,49.83,Master
Orisa,50.17,Master
Tracer,52.81,Master
Reaper,53.87,Master
Echo,49.82,Master
Torbjörn,58.11,Master
Junkrat,54.73,Master
Hanzo,47.56,Master
D.Va,50.0,Master
Genji,50.13,Master
Doomfist,54.64,Master
Mei,49.19,Master
Zenyatta,54.8,Master
Symmetra,57.31,Master
Sombra,49.22,Master
Winston,49.8,Master
Pharah,56.25,Master
Bastion,58.67,Master
Reinhardt,55.55,Grandmaster
Moira,52.69,Grandmaster
Mercy,55.77,Grandmaster
Ana,54.69,Grandmaster
McCree,53.99,Grandmaster
Ashe,55.58,Grandmaster
Roadhog,54.13,Grandmaster
Sigma,55.17,Grandmaster
Zarya,55.18,Grandmaster
Lúcio,60.79,Grandmaster
Brigitte,54.85,Grandmaster
Wrecking Ball,49.25,Grandmaster
Orisa,54.82,Grandmaster
Tracer,53.85,Grandmaster
Widowmaker,54.07,Grandmaster
Torbjörn,60.12,Grandmaster
Echo,58.68,Grandmaster
Soldier: 76,55.77,Grandmaster
Hanzo,48.85,Grandmaster
Baptiste,56.1,Grandmaster
